ID,時間,心情分數,緯度,經度,影片路徑
1,2025-11-27 08:49:31,3,,,
2,2025-11-27 09:01:15,2,25.0385173,121.5745952,
3,2025-11-27 17:14:51,2,25.0385139,121.5745943,
4,2025-11-27 17:55:43,2,25.0385139,121.5745943,
5,2025-11-27 18:31:05,0,25.0385103,121.5746036,file:///data/user/0/com.ccchi.Emogo/cache/Camera/d47a3141-5065-4564-8fe3-3ff5f20fd480.mp4
6,2025-11-27 20:21:09,1,25.0385103,121.5746036,
7,2025-11-27 20:22:04,2,25.0385103,121.5746036,
8,2025-11-27 20:24:47,2,25.0385103,121.5746036,file:///data/user/0/com.ccchi.Emogo/files/vlog_1764246287794.mp4
9,2025-11-27 20:25:29,2,25.0385103,121.5746036,file:///data/user/0/com.ccchi.Emogo/files/vlog_1764246329264.mp4
10,2025-11-27 20:26:07,2,25.0385103,121.5746036,file:///data/user/0/com.ccchi.Emogo/files/vlog_1764246367710.mp4
11,2025-11-27 21:41:43,1,25.0384901,121.5746084,file:///data/user/0/com.ccchi.Emogo/files/vlog_1764250903939.mp4
